,State/Province,Postcode,Store Number,City,Country,Population,Median Age,Household Income,Per Capita Income,Latitude,Longitude,Poverty Count,Race White,Race African American,Race American Indian,Race Asian,Race Pacific Islander,Race Two or More,ageCategory,ageBinned,householdCategory,householdBinned
66,AL,36606.0,3,Mobile,US,19135.0,34.6,35307.0,21840.0,30.68,-88.12,5779.0,9242.0,9313.0,43.0,188.0,0.0,619.0,2,"(18, 35]",1,"(0, 60000]"
67,AL,36608.0,2,Mobile,US,37301.0,33.6,48625.0,28908.0,30.7,-88.13,6028.0,24643.0,11345.0,57.0,637.0,0.0,650.0,2,"(18, 35]",1,"(0, 60000]"
68,AL,36688.0,1,Mobile,US,337.0,20.3,0.0,3056.0,30.7,-88.18,0.0,261.0,54.0,0.0,0.0,0.0,26.0,2,"(18, 35]",1,
69,AL,36695.0,3,Mobile,US,48227.0,36.9,65464.0,32225.0,30.68,-88.19,3347.0,35789.0,8735.0,70.0,2208.0,0.0,1976.0,3,"(35, 55]",2,"(60000, 120000]"
70,AL,36801.0,3,Opelika,US,24273.0,36.5,38011.0,23769.0,32.64,-85.37,5994.0,12652.0,9704.0,12.0,301.0,0.0,638.0,3,"(35, 55]",1,"(0, 60000]"
71,AL,36830.0,1,Auburn,US,36303.0,29.1,51155.0,31481.0,32.61,-85.46,8071.0,26143.0,5542.0,17.0,3242.0,26.0,1092.0,2,"(18, 35]",2,"(0, 60000]"
72,AL,36849.0,2,Auburn,US,3539.0,19.4,0.0,2047.0,32.61,-85.48,0.0,3118.0,203.0,10.0,161.0,0.0,77.0,2,"(18, 35]",1,
73,AR,71854.0,1,Texarkana,US,37014.0,37.3,39846.0,21277.0,33.46,-94.04,7451.0,25202.0,10509.0,187.0,9.0,0.0,1572.0,3,"(35, 55]",1,"(0, 60000]"
74,AR,71913.0,1,Hot Springs,US,44123.0,44.6,37213.0,25431.0,34.46,-93.06,8524.0,37834.0,2994.0,374.0,196.0,9.0,1851.0,3,"(35, 55]",1,"(0, 60000]"
75,AR,71999.0,1,Arkadelphia,US,774.0,19.9,0.0,3323.0,34.13,-93.06,0.0,551.0,201.0,0.0,4.0,0.0,36.0,2,"(18, 35]",1,
76,AR,72015.0,1,Benton,US,29757.0,35.3,46565.0,22296.0,34.61,-92.53,4147.0,26592.0,1904.0,88.0,106.0,0.0,1628.0,2,"(35, 55]",1,"(0, 60000]"
77,AR,72022.0,2,Bryant,US,16318.0,37.2,59643.0,28313.0,34.61,-92.53,716.0,14031.0,1535.0,78.0,237.0,20.0,704.0,3,"(35, 55]",2,"(0, 60000]"
78,AR,72032.0,3,Conway,US,32534.0,32.7,45840.0,22494.0,35.11,-92.39,5150.0,25665.0,5583.0,100.0,345.0,4.0,1084.0,2,"(18, 35]",1,"(0, 60000]"
79,AR,72035.0,1,Conway,US,1523.0,19.5,0.0,2503.0,35.08,-92.45,0.0,1006.0,370.0,7.0,54.0,4.0,84.0,2,"(18, 35]",1,
80,AR,72076.0,1,Jacksonville,US,39359.0,34.4,42089.0,20288.0,34.89,-92.11,7286.0,26102.0,10872.0,170.0,578.0,0.0,2116.0,2,"(18, 35]",1,"(0, 60000]"
81,AR,72099.0,1,"Little Rock,",US,662.0,21.4,0.0,20718.0,34.9,-92.15,0.0,532.0,109.0,0.0,6.0,7.0,0.0,2,"(18, 35]",1,
82,AR,72113.0,1,Maumelle,US,22999.0,33.9,60558.0,33655.0,34.85,-92.4,2285.0,16004.0,6041.0,0.0,514.0,0.0,830.0,2,"(18, 35]",2,"(60000, 120000]"
83,AR,72116.0,2,North Little Rock,US,21920.0,41.0,59544.0,34436.0,34.82,-92.23,2573.0,17509.0,3754.0,57.0,53.0,0.0,883.0,3,"(35, 55]",2,"(0, 60000]"
84,AR,72143.0,1,Searcy,US,36782.0,31.3,45269.0,23770.0,35.25,-91.69,5676.0,33055.0,2279.0,67.0,420.0,17.0,1434.0,2,"(18, 35]",1,"(0, 60000]"
85,AR,72149.0,1,Searcy,US,0.0,0.0,0.0,0.0,35.25,-91.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1,
86,AR,72201.0,2,Little Rock,US,888.0,51.8,67441.0,88974.0,34.75,-92.27,56.0,804.0,32.0,0.0,0.0,0.0,88.0,3,"(35, 55]",2,"(60000, 120000]"
87,AR,72202.0,2,Little Rock,US,10905.0,38.4,31498.0,25664.0,34.73,-92.22,3249.0,4091.0,6344.0,22.0,88.0,0.0,452.0,3,"(35, 55]",1,"(0, 60000]"
88,AR,72205.0,3,Little Rock,US,23798.0,34.9,50212.0,31119.0,34.75,-92.34,2410.0,16340.0,5857.0,38.0,977.0,67.0,884.0,2,"(18, 35]",2,"(0, 60000]"
89,AR,72207.0,2,Little Rock,US,10092.0,40.6,64129.0,53155.0,34.77,-92.34,718.0,9162.0,652.0,0.0,22.0,0.0,461.0,3,"(35, 55]",2,"(60000, 120000]"
90,AR,72209.0,1,Little Rock,US,30592.0,30.3,28943.0,14640.0,34.66,-92.41,8841.0,8600.0,20446.0,69.0,59.0,0.0,1107.0,2,"(18, 35]",1,"(0, 60000]"
91,AR,72211.0,2,Little Rock,US,23415.0,33.7,63772.0,33276.0,34.75,-92.4,1761.0,15023.0,5306.0,40.0,2055.0,0.0,1110.0,2,"(18, 35]",2,"(60000, 120000]"
92,AR,72212.0,1,Little Rock,US,13181.0,42.6,95276.0,46787.0,34.77,-92.4,462.0,11072.0,1244.0,66.0,485.0,3.0,622.0,3,"(35, 55]",2,"(60000, 120000]"
93,AR,72223.0,2,Little Rock,US,22139.0,39.8,90266.0,52296.0,34.8,-92.42,1834.0,17149.0,2861.0,10.0,1720.0,25.0,455.0,3,"(35, 55]",2,"(60000, 120000]"
