State,City,Postcode,State Population Rank,Household Income,Median Age,Population,Race White,Starbucks Count
TX,ALLEYTON,78935,2,73000,37.6,1788,1327,1042
VT,SHOREHAM,05770,51,73000,49.2,1058,1012,8
MN,GOOD THUNDER,56037,20,73000,46.8,1539,1500,184
ND,DONNYBROOK,58734,49,72989,41.5,321,321,13
ND,SCRANTON,58653,49,72969,47.3,647,606,13
TN,OOLTEWAH,37363,19,72969,40.7,36442,32655,180
IA,HUDSON,50643,32,72969,43.7,2690,2681,89
WI,NEW GLARUS,53574,22,72951,44.2,3897,3855,145
NJ,RED BANK,07701,18,72932,41.6,23861,18168,261
ND,ARTHUR,58006,49,72917,47,514,509,13
MT,RESERVE,59258,42,72917,52.2,111,107,36
ND,PEMBINA,58271,49,72917,48.7,702,663,13
VA,BARBOURSVILLE,22923,9,72917,41.6,4845,4415,432
MA,WORTHINGTON,01098,23,72917,52,1149,1099,273
MN,DUNDAS,55019,20,72917,35.4,2043,1920,184
NY,MONTAUK,11954,4,72903,54.4,3495,3238,645
KY,LOUISVILLE,40223,26,72899,42.3,22079,18649,116
CT,WEST HARTFORD,06119,30,72898,38.2,15529,11891,123
IN,LEWIS,47858,16,72880,37.3,697,673,221
OK,BISON,73720,35,72875,42.2,224,201,79
VA,THE PLAINS,20198,9,72868,50.6,2262,2091,432
PA,LINE LEXINGTON,18932,11,72868,45.1,520,503,357
ME,GORHAM,04038,48,72851,38.8,16834,15863,30
GA,ELKO,31025,10,72850,44.5,1405,923,326
MA,BEVERLY,01915,23,72837,39.9,40670,38401,273
OH,FORT LORAMIE,45845,7,72833,38.3,3067,3067,377
NH,GOFFSTOWN,03045,46,72821,43.1,13634,13306,29
OK,NEWCASTLE,73065,35,72813,39.6,7012,6048,79
IA,CENTER POINT,52213,32,72813,39.3,4139,4036,89
ND,RICHARDTON,58652,49,72813,37.3,1295,1245,13
NJ,BLOOMFIELD,07003,18,72791,37.9,47840,29693,261
NY,STATEN ISLAND,10305,4,72782,39.5,41795,31948,645
ND,MERCER,58559,49,72778,43.4,234,224,13
WY,KEMMERER,83101,44,72778,38.5,3126,2997,23
CT,BLOOMFIELD,06002,30,72762,48.7,20679,7118,123
CA,WESTPORT,95488,1,72750,52.1,357,357,2821
NH,STODDARD,03464,46,72750,49.1,1127,1074,29
NY,WARNERS,13164,4,72750,38.1,2494,2346,645
