State/Province,Postcode,Starbucks Count,City,Country,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Cafe Count
AZ,85054,2,Phoenix,US,33.68,-111.93,6049,39.2,76558,50655,3
AZ,85085,2,Phoenix,US,33.71,-112.11,19529,34.1,81250,37358,5
AZ,85086,4,Phoenix,US,33.87,-112.13,41102,39.5,83135,35717,2
AZ,85118,1,Gold Canyon,US,33.37,-111.47,11857,63.7,62715,43175,4
AZ,85120,2,Apache Junction,US,33.42,-111.55,28599,51.0,35322,19502,2
AZ,85122,3,Casa Grande,US,32.93,-111.72,52817,36.5,44364,20928,0
AZ,85128,1,Coolidge,US,32.99,-111.52,15867,36.1,40334,16120,3
AZ,85132,1,Florence,US,33.06,-111.49,36013,38.5,48176,14844,1
AZ,85139,3,Maricopa,US,33.07,-112.04,18669,34.7,54711,20575,4
AZ,85140,1,Queen Creek,US,33.22,-111.57,40505,29.4,59556,20654,1
AZ,85142,4,Queen Creek,US,33.28,-111.64,54373,30.9,72007,26383,1
AZ,85143,2,Queen Creek,US,33.18,-111.56,38393,30.5,58595,21307,1
AZ,85201,3,Mesa,US,33.43,-111.87,50232,31.1,35379,19018,6
AZ,85202,5,Mesa,US,33.39,-111.86,36909,31.8,42463,23605,14
AZ,85203,2,Mesa,US,33.45,-111.8,35568,32.2,45469,22035,2
AZ,85204,5,Mesa,US,33.39,-111.75,64665,31.5,44949,19360,7
AZ,85205,1,Mesa,US,33.42,-111.73,41270,50.7,43496,27023,6
AZ,85206,4,Mesa,US,33.41,-111.68,33885,46.5,45501,27140,5
AZ,85207,1,Mesa,US,33.44,-111.63,46821,41.0,65507,33477,1
AZ,85208,1,Mesa,US,33.41,-111.63,35852,48.3,44519,23187,4
AZ,85209,6,Mesa,US,33.4,-111.6,41181,43.1,56275,26580,7
AZ,85210,2,Mesa,US,33.38,-111.84,38151,30.6,36996,17727,13
AZ,85212,2,Mesa,US,33.32,-111.68,25829,31.3,78702,26109,3
AZ,85213,1,Mesa,US,33.42,-111.77,33789,40.4,56401,29257,5
AZ,85215,5,Mesa,US,33.47,-111.68,15524,55.0,61530,36647,6
AZ,85224,5,Chandler,US,33.34,-111.86,45291,34.0,62283,30913,14
AZ,85225,2,Chandler,US,33.35,-111.82,73155,32.2,55940,25415,5
AZ,85226,8,Chandler,US,33.32,-111.9,38484,35.8,77350,36012,15
AZ,85233,2,Gilbert,US,33.34,-111.81,37463,35.7,75414,32514,8
AZ,85234,1,Gilbert,US,33.38,-111.72,52774,33.1,79068,30927,10
AZ,85236,1,Higley,US,33.33,-111.69,0,0.0,0,0,3
AZ,85248,3,Chandler,US,33.26,-111.84,31941,58.1,65852,39991,8
AZ,85249,6,Chandler,US,33.25,-111.73,40432,38.5,102532,39117,2
AZ,85250,4,Scottsdale,US,33.54,-111.89,16950,48.9,60149,42860,11
AZ,85251,7,Scottsdale,US,33.5,-111.91,38968,36.4,51263,41092,44
AZ,85253,2,Scottsdale,US,33.54,-111.93,17115,53.2,121496,95998,3
AZ,85254,8,Scottsdale,US,33.63,-111.92,46089,43.4,87079,44779,12
AZ,85255,6,Scottsdale,US,33.7,-111.89,39105,47.2,110354,65754,0
AZ,85257,2,Scottsdale,US,33.48,-111.91,30040,40.0,52134,30278,32
AZ,85258,3,Scottsdale,US,33.58,-111.88,22654,54.5,73116,56362,8
AZ,85259,2,Scottsdale,US,33.59,-111.83,22417,47.8,104631,64533,4
AZ,85260,7,Scottsdale,US,33.64,-111.86,36552,44.4,76194,51666,1
AZ,85266,3,Scottsdale,US,33.78,-111.92,11112,58.3,105753,64760,0
AZ,85268,3,Fountain Hills,US,33.61,-111.72,23570,56.6,73326,48717,3
AZ,85281,12,Tempe,US,33.45,-111.91,59492,23.5,31538,17466,9
AZ,85282,8,Tempe,US,33.41,-111.91,51538,30.7,49248,26206,27
AZ,85283,3,Tempe,US,33.36,-111.91,47087,32.0,55414,27365,14
AZ,85284,4,Tempe,US,33.35,-111.91,17655,44.5,116636,51988,15
AZ,85286,3,Chandler,US,33.29,-111.84,41935,34.7,88600,35126,12
AZ,85287,2,Tempe,US,33.42,-111.93,0,0.0,0,0,41
AZ,85295,4,Gilbert,US,33.33,-111.72,42782,31.7,86442,32085,5
AZ,85296,5,Gilbert,US,33.35,-111.72,42244,32.9,82376,31111,3
AZ,85297,4,Gilbert,US,33.29,-111.69,31061,29.4,91078,32185,2
AZ,85302,2,Glendale,US,33.58,-112.15,37356,35.1,41390,20440,8
AZ,85304,1,Glendale,US,33.6,-112.17,26600,40.3,56125,25419,6
